courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
138,71387,单选题,4,实施乡村振兴战略，必须加强农村基层基础工作，健全（）的乡村治理体系。,民主、法治相结合,自治、法治、德治相结合,自治、法治、民主相结合,法治、德治相结合,B
138,71402,单选题,4,"人民政协工作要聚焦党和国家中心任务，围绕（）两大主题，把协商民主贯穿政治协商、民主监督、参政议政全过程，完善协商议政内容和形式,着力增进共识、促进团结。",团结和合作,团结和民主,和平和发展,平等和自主,B
138,71404,单选题,4,（）是社会主义协商民主健康有序发展的根本保证。,狠抓机制落实,中国共产党的领导,发展生产力,独立自主,B
138,71415,单选题,4,传承弘扬中华优秀传统文化，要深入挖掘和阐发中华文化（）的时代价值，不断增强文化自信和价值观自信。①讲仁爱；②重民本；③守诚信；④崇正义；⑤尚和合；⑥求大同,①②③④,①②③④⑤,②③④⑤⑥,①②③④⑤⑥,D
138,71399,单选题,4,（）是我国的一项基本政治制度，是中国特色解决民族问题的正确道路的重要内容和制度保障。,国特色社会主义,基层群众自治制度,民族区域自治制度,人民代表大会制度,C
138,71363,单选题,4,党的十九大报告指出，要推动“四化”同步发展，“四化”是指（）。①新型工业化②信息化③城镇化④农业现代化⑤军队机械化⑥科技现代化,①②③④,①②④⑤,①③④⑤,②③④⑥,A
138,66312,单选题,4,党的十九大报告指出，（）是实现社会主义现代化、创造人民美好生活的必由之路。,从站起来、富起来到强起来,实行社会主义民主,科学社会主义道路,中国特色社会主义道路,D
138,71405,单选题,4,（）是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构。,政党协商,人大协商,基层协商,人民政协,D
138,71378,单选题,4,党的十八以来，我们党坚持（）工作总基调，迎难而上，开拓进取，推动改革开放和社会主义现代化建设发生历史性变革。,又好又快,稳中求进,稳中求好,又快又好,B
138,71377,单选题,4,在社会主义初级阶段，必须坚持和完善公有制为主体、多种所有制经济（）的基本经济制度。,共同发展,相互竞争,齐头并进,均衡发展,A
138,71395,单选题,4,党中央决定支持海南全岛建设（），支持海南逐步探索、稳步推进中国特色自由贸易港建设，分步骤、分阶段建立自由贸易港政策和制度体系。,经济特区,自由贸易试验区,保税区,先行试验区,B
138,71369,单选题,4,党的十九大提出，从（）到（），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化强国。,2020年2035年,2035年2050年,2030年2045年,2035年本世纪中叶,D
138,71379,单选题,4,党的十八大后，我国经济发展正处于（）“三期叠加”阶段，面临着经济发展速度换挡节点。①增长速度换挡期；②结构调整阵痛期；③前期刺激政策消化期；④核心技术爬坡期,①②③,②③④,①②④,①③④,A
138,66318,单选题,4,坚持和发展中国特色社会主义，总任务是实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分（）在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,两步走,三步走,四步走,五步走,A
138,71370,单选题,4,中国特色社会主义事业“五位一体”总体布局是指全面推进经济建设、政治建设、文化建设、社会建设、（）。,制度建设,生态文明建设,作风建设,法治建设,B
138,71365,单选题,4,我们党的三大历史任务是推进现代化建设、（）、维护世界和平与促进共同发展。,实现共产主义,实现民族复兴,完成祖国统一,实现全人类解放,C
138,71418,单选题,4,习近平总书记在党的新闻舆论工作座谈会上强调，党的新闻舆论工作必须遵循（）的基本方针。,团结稳定鼓劲、正面宣传为主,党和政府举办的媒体姓党,把握时度效,尊重客观事实、全面准确报道,A
138,71401,单选题,4,习近平总书记强调，（）是社会主义协商民主的重点，凡是涉及群众切身利益的决策都要充分听取群众意见。,人民群众,领导干部,民主党派,基层,A
138,71376,单选题,4,根据2018年3月中共中央印发的深化党和国家机构改革方案，成立中央（），加强党中央对法治中国建设的集中统一领导。,全面依法治国领导小组,全面依法治国委员会,从严治党领导小组,司法改革委员会,B
138,71412,单选题,4,习近平总书记强调，“意识形态工作是党的一项（）（）的工作”。,极端重要,十分重要,不可或缺,影响深远,A
138,71364,单选题,4,我们党要团结带领人民有效（），必须进行具有许多新的历史特点的伟大斗争。①应对重大挑战②抵御重大风险③克服重大阻力④解决重大矛盾⑤实施重大改革⑥推进重大创新,①②③④,①②④⑤,①③④⑤,②③④⑥,A
138,71373,单选题,4,（）是决定当代中国命运的关键一招，也是实现“两个一百年”奋斗目标、实现中华民族伟大复兴的关键一招。,市场经济,改革开放,党的领导,依法治国,B
138,66325,单选题,4,坚持不移走中国特色社会主义法治道路，关键是（）。,发展生产力,加强党性教育,坚持党的领导,保障人民权益,C
138,71414,单选题,4,党的十九大报告指出，中国特色社会主义文化，源自于中华民族五千多年文明历史所孕育的中华优秀传统文化，熔铸于党领导人民在革命、建设、改革中创造的（）（），植根于中国特色社会主义伟大实践。,社会主义先进文化,红色文化,民族的科学的大众的文化,革命文化和社会主义先进文化,D
138,66311,单选题,4,构建国家安全体系，包括政治、国土、军事、文化等11种安全，其中（）是总体安全的根本。,政治安全,国土安全,军事安全,文化安全,A
138,71411,单选题,4,习近平总书记强调，宣传思想工作的根本任务，就是要巩固（）在意识形态领域的指导地位，巩固全党全国人民团结奋斗的共同思想基础。,社会主义核心价值观,马克思主义,中华文化,社会主义先进文化,B
138,71417,单选题,4,习近平总书记指出，当前思想舆论领域大致有红色、黑色、灰色“三个地带”，（）地带要大张旗鼓争取。,红色,灰色,黑色,黑色、灰色,B
